"Family","Altstig","Aspis","Aueli","Bitzi","Blumenstein","Bodmen","Botsberg","Bruggbach","Buech","Buechel","Burgau","Chruxalpen","Eggliwald","Erlenhof","Gahwil","Gertenau","Glatthalde","Gluris","Gstaltlig","Hemberg","Hengarten","Hoffeld","Landersberg","Laui","Letten","Matt","Muhlau","Muhlruti","Nestel","Neudietfurt","Niederuzwil","Oberriet","Oberrindal","Oberwald","Peterzell","Ricken","Rickenbach","Riederen","Rietbad","Ritzentaa","Rotelbach","Ruteli","Sagenbach","Schonenberg","Schwendi","Seluner","St.Johann","Stalden","Starkenbach","Stocken","Sulzbach","Tannenhof","Tufi","Vier_Winden","Vordernecker","Wattwil","Wildhaus","Winklen","Wissbach","Zellersmuehli","Zuu"
"Ancylidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astacidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7714,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athericidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075,0,0,0,0,0,0,0,0,0,0
"Baetidae",530,0,0,98,22,612,0,3790,279,0,2,137,3091,36,15,77,33,8,33,192,263,23,393,0,765,43,26,94447,2,1069,25,0,110,85,362,907,525,0,0,150,95,26,632,91,1001,52,335,1107,0,20,104,86,11,0,97,656,77,519,120,78,20
"Bithyniidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blephariceridae",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33284,38,0,0,0,0,78,0,0,0,0,114,190,0,0,2144,1245,0,6,13,0,0,0,2272,0,594,0,4247,0,0,0,254,41,0,0,0,0,927
"Bryozoa",0,0,0,0,0,0,0,338,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,19,103,8,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,16,0
"Caenidae",379,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1113,0,0,0,0,0,0,0,157,0,16,0,0,279,0,0,0,0,75,0,0,0,0,73,28,120,292,0,0,0,72,0,0,50,0,0,0,0,0,110,0,347,61,99,0
"Capniidae",0,0,0,0,0,146,0,0,0,0,0,0,15021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2306,0,0,0,412,74,0,0,0,0,0
"Ceratopogonidae",25,0,0,81,101,0,1468,7,0,24,90,1792,0,0,911,138,663,0,0,56,0,0,198,428,0,0,0,0,0,0,0,0,193,0,31,0,520,0,0,0,530,0,0,0,6,233,63,154,5,0,163,363,46,0,2,0,45,0,188,235,0
